"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2021-06-26 23:00:00,1082037026816,36794671104,147152601088,898089754624,0
2021-06-27 00:00:00,1082037026816,37091442688,147160395776,897785188352,0
2021-06-27 01:00:00,1082037026816,37349621760,147474288640,897213116416,0
2021-06-27 02:00:00,1082037026816,38077120512,147482742784,896477163520,0
2021-06-27 03:00:00,1082037026816,8528687104,147456880640,926051459072,0
2021-06-27 04:00:00,1082037026816,8528551936,147464011776,926044463104,0
2021-06-27 05:00:00,1082037026816,8530350080,147469762560,926036914176,0
2021-06-27 06:00:00,1082037026816,8530952192,147475705856,926030368768,0
2021-06-27 07:00:00,1082037026816,8553807872,147482316800,926000902144,0
2021-06-27 08:00:00,1082037026816,8543588352,147488686080,926004752384,0
2021-06-27 09:00:00,1082037026816,8547893248,147495329792,925993803776,0
2021-06-27 10:00:00,1082037026816,8550260736,147501731840,925985034240,0
2021-06-27 11:00:00,1082037026816,8553857024,147508469760,925974700032,0
2021-06-27 12:00:00,1082037026816,8550785024,147514798080,925971443712,0
2021-06-27 13:00:00,1082037026816,8547901440,147520798720,925968326656,0
2021-06-27 14:00:00,1082037026816,8558137344,147527004160,925951885312,0
2021-06-27 15:00:00,1082037026816,8557481984,147533111296,925946433536,0
2021-06-27 16:00:00,1082037026816,8557666304,147539038208,925940322304,0
2021-06-27 17:00:00,1082037026816,8559046656,147544780800,925933199360,0
2021-06-27 18:00:00,1082037026816,8559894528,147550404608,925926727680,0
2021-06-27 19:00:00,1082037026816,8564645888,147556573184,925915807744,0
2021-06-27 20:00:00,1082037026816,8557682688,147562291200,925917052928,0
2021-06-27 21:00:00,1082037026816,8559534080,147568816128,925908676608,0
2021-06-27 22:00:00,1082037026816,8564793344,147575750656,925896482816,0
2021-06-27 23:00:00,1082037026816,8568705024,147581919232,925886402560,0
2021-06-28 00:00:00,1082037026816,8568664064,147587981312,925880381440,0
2021-06-28 01:00:00,1082037026816,8600289280,149174206464,924262531072,0
2021-06-28 02:00:00,1082037026816,8603570176,149179551744,924253904896,0
2021-06-28 03:00:00,1082037026816,8611512320,149186097152,924239417344,0
2021-06-28 04:00:00,1082037026816,8607084544,149191450624,924238491648,0
2021-06-28 05:00:00,1082037026816,8606142464,149197033472,924233850880,0
2021-06-28 06:00:00,1082037026816,8613912576,149202731008,924220383232,0
2021-06-28 07:00:00,1082037026816,8629112832,149209513984,924198400000,0
2021-06-28 08:00:00,1082037026816,8627445760,149215834112,924193746944,0
2021-06-28 09:00:00,1082037026816,8626548736,149222326272,924188151808,0
2021-06-28 10:00:00,1082037026816,8624988160,149228335104,924183703552,0
2021-06-28 11:00:00,1082037026816,8635240448,149234315264,924167471104,0
2021-06-28 12:00:00,1082037026816,8634916864,149241233408,924160876544,0
2021-06-28 13:00:00,1082037026816,8633507840,149247488000,924156030976,0
2021-06-28 14:00:00,1082037026816,8636649472,149253341184,924147036160,0
2021-06-28 15:00:00,1082037026816,8640405504,149259153408,924137467904,0
2021-06-28 16:00:00,1082037026816,8636321792,149264404480,924136300544,0
2021-06-28 17:00:00,1082037026816,49111175168,154154680320,878771171328,0
2021-06-28 18:00:00,1082037026816,59700391936,154301566976,868035067904,0
2021-06-28 19:00:00,1082037026816,54818144256,153216753664,874002128896,0
2021-06-28 20:00:00,1082037026816,54879883264,153411035136,873746108416,0
2021-06-28 21:00:00,1082037026816,54834556928,153421709312,873780760576,0
2021-06-28 22:00:00,1082037026816,54873280512,153432305664,873731440640,0
2021-06-28 23:00:00,1082037026816,54824132608,153443807232,873769086976,0
2021-06-29 00:00:00,1082037026816,54883131392,153455980544,873697914880,0
2021-06-29 01:00:00,1082037026816,24160124928,151250657280,906626244608,0
2021-06-29 02:00:00,1082037026816,24142856192,151256997888,906637172736,0
2021-06-29 03:00:00,1082037026816,27456323584,247897305088,806683398144,0
2021-06-29 04:00:00,1082037026816,28522524672,247942787072,805571715072,0
2021-06-29 05:00:00,1082037026816,28588609536,247949668352,805498748928,0
2021-06-29 06:00:00,1082037026816,28610256896,247956455424,805470314496,0
2021-06-29 07:00:00,1082037026816,28650758144,247963529216,805422739456,0
2021-06-29 08:00:00,1082037026816,28576649216,247971094528,805489283072,0
2021-06-29 09:00:00,1082037026816,28632477696,247977746432,805426802688,0
2021-06-29 10:00:00,1082037026816,28648013824,247984001024,805405011968,0
2021-06-29 11:00:00,1082037026816,28736512000,247990513664,805310001152,0
2021-06-29 12:00:00,1082037026816,28681347072,247996739584,805358940160,0
2021-06-29 13:00:00,1082037026816,28744220672,248002998272,805289807872,0
2021-06-29 14:00:00,1082037026816,28694396928,248009457664,805333172224,0
2021-06-29 15:00:00,1082037026816,28729118720,248015814656,805292093440,0
2021-06-29 16:00:00,1082037026816,28680122368,248022446080,805334458368,0
2021-06-29 17:00:00,1082037026816,28717379584,248029085696,805290561536,0
2021-06-29 18:00:00,1082037026816,28782104576,248037081088,805217841152,0
2021-06-29 19:00:00,1082037026816,28762693632,248044769280,805229563904,0
2021-06-29 20:00:00,1082037026816,28740395008,248052326400,805244305408,0
2021-06-29 21:00:00,1082037026816,28765351936,248060907520,805210767360,0
2021-06-29 22:00:00,1082037026816,21192409088,255573848064,805270769664,0
2021-06-29 23:00:00,1082037026816,13459795968,255026081792,813551149056,0
