"Time","GPU 2","GPU 5","GPU 4","GPU 3","GPU 0","GPU 7","GPU 1","GPU 6"
2021-06-25 18:30:00,90,99,99,0,63,99,99,0
2021-06-25 19:00:00,0,100,99,0,0,99,99,0
2021-06-25 19:30:00,7,100,99,0,0,100,100,0
2021-06-25 20:00:00,0,99,99,0,0,99,100,0
2021-06-25 20:30:00,0,100,99,0,0,100,100,0
2021-06-25 21:00:00,0,99,100,0,0,100,100,0
2021-06-25 21:30:00,0,100,100,0,0,100,99,0
2021-06-25 22:00:00,100,100,100,89,100,100,100,89
2021-06-25 22:30:00,100,99,99,97,100,99,99,89
2021-06-25 23:00:00,89,100,99,100,100,100,99,89
2021-06-25 23:30:00,89,99,99,99,100,99,99,100
2021-06-26 00:00:00,93,99,99,95,88,99,99,91
2021-06-26 00:30:00,99,99,99,91,100,99,99,100
2021-06-26 01:00:00,89,99,99,92,89,99,99,92
2021-06-26 01:30:00,100,99,99,100,100,99,99,100
2021-06-26 02:00:00,89,99,99,100,90,99,99,88
2021-06-26 02:30:00,100,99,99,90,100,99,99,63
2021-06-26 03:00:00,90,99,99,94,90,99,99,99
2021-06-26 03:30:00,100,99,99,89,100,99,99,74
2021-06-26 04:00:00,100,100,99,99,89,100,99,100
2021-06-26 04:30:00,89,100,99,100,99,100,100,88
2021-06-26 05:00:00,99,100,100,100,88,100,99,89
2021-06-26 05:30:00,89,99,99,100,89,99,99,99
2021-06-26 06:00:00,100,100,99,89,90,99,100,89
2021-06-26 06:30:00,93,99,99,97,89,100,100,59
2021-06-26 07:00:00,89,100,100,90,90,100,100,100
2021-06-26 07:30:00,100,100,99,89,100,99,99,100
2021-06-26 08:00:00,89,99,100,100,100,100,100,91
2021-06-26 08:30:00,89,99,99,100,100,99,99,100
2021-06-26 09:00:00,89,99,99,90,99,99,99,89
2021-06-26 09:30:00,90,99,99,100,100,99,99,89
2021-06-26 10:00:00,89,99,99,100,100,99,99,89
2021-06-26 10:30:00,89,99,99,90,100,99,99,0
2021-06-26 11:00:00,100,99,99,100,89,99,99,0
2021-06-26 11:30:00,95,99,99,100,81,99,99,0
2021-06-26 12:00:00,89,99,99,90,100,99,99,0
2021-06-26 12:30:00,100,99,99,90,100,99,99,0
2021-06-26 13:00:00,89,99,100,100,89,100,100,0
2021-06-26 13:30:00,90,100,99,89,89,99,99,0
2021-06-26 14:00:00,100,100,100,100,90,100,100,0
2021-06-26 14:30:00,89,99,99,89,100,99,99,0
2021-06-26 15:00:00,91,100,99,99,99,99,100,0
2021-06-26 15:30:00,100,99,99,100,100,100,100,0
2021-06-26 16:00:00,89,100,99,100,100,100,99,0
2021-06-26 16:30:00,89,100,100,99,100,100,100,0
2021-06-26 17:00:00,100,100,100,100,89,100,99,0
2021-06-26 17:30:00,89,99,99,88,99,99,99,0
2021-06-26 18:00:00,100,99,99,100,100,99,99,0
2021-06-26 18:30:00,90,99,99,100,100,99,99,0
2021-06-26 19:00:00,89,99,99,90,89,99,99,0
2021-06-26 19:30:00,60,99,99,89,89,99,99,0
2021-06-26 20:00:00,100,99,99,100,89,99,99,0
2021-06-26 20:30:00,89,99,99,100,89,99,99,0
2021-06-26 21:00:00,100,99,99,100,100,99,99,0
2021-06-26 21:30:00,100,99,99,89,100,99,99,0
2021-06-26 22:00:00,89,100,100,100,89,100,100,0
2021-06-26 22:30:00,89,100,99,89,89,99,99,0
2021-06-26 23:00:00,89,0,0,92,88,0,0,0
2021-06-26 23:30:00,99,0,0,94,89,0,0,0
2021-06-27 00:00:00,89,0,0,100,100,0,0,0
2021-06-27 00:30:00,100,0,0,100,86,0,0,0
2021-06-27 01:00:00,89,0,0,88,100,0,0,0
2021-06-27 01:30:00,96,0,0,89,89,0,0,0
2021-06-27 02:00:00,100,0,0,90,100,0,0,0
2021-06-27 02:30:00,90,0,0,100,89,0,0,0
2021-06-27 03:00:00,0,0,0,0,0,0,0,0
2021-06-27 03:30:00,0,0,0,0,0,0,0,0
2021-06-27 04:00:00,0,0,0,0,0,0,0,0
2021-06-27 04:30:00,0,0,0,0,0,0,0,0
2021-06-27 05:00:00,0,0,0,0,0,0,0,0
2021-06-27 05:30:00,0,0,0,0,0,0,0,0
2021-06-27 06:00:00,0,0,0,0,0,0,0,0
2021-06-27 06:30:00,0,0,0,0,0,0,0,0
2021-06-27 07:00:00,0,0,0,0,0,0,0,0
2021-06-27 07:30:00,0,0,0,0,0,0,0,0
2021-06-27 08:00:00,0,0,0,0,0,0,0,0
2021-06-27 08:30:00,0,0,0,0,0,0,0,0
2021-06-27 09:00:00,0,0,0,0,0,0,0,0
2021-06-27 09:30:00,0,0,0,0,0,0,0,0
2021-06-27 10:00:00,0,0,0,0,0,0,0,0
2021-06-27 10:30:00,0,0,0,0,0,0,0,0
2021-06-27 11:00:00,0,0,0,0,0,0,0,0
2021-06-27 11:30:00,0,0,0,0,0,0,0,0
2021-06-27 12:00:00,0,0,0,0,0,0,0,0
2021-06-27 12:30:00,0,0,0,0,0,0,0,0
2021-06-27 13:00:00,0,0,0,0,0,0,0,0
2021-06-27 13:30:00,0,0,0,0,0,0,0,0
2021-06-27 14:00:00,0,0,0,0,0,0,0,0
2021-06-27 14:30:00,0,0,0,0,0,0,0,0
2021-06-27 15:00:00,0,0,0,0,0,0,0,0
2021-06-27 15:30:00,0,0,0,0,0,0,0,0
