"Time","GPU 2","GPU 5","GPU 4","GPU 3","GPU 0","GPU 7","GPU 1","GPU 6"
2021-06-23 19:00:00,0,0,0,0,0,0,0,0
2021-06-23 20:00:00,0,0,0,0,0,0,0,0
2021-06-23 21:00:00,0,0,0,0,0,0,0,0
2021-06-23 22:00:00,0,0,0,0,0,0,0,0
2021-06-23 23:00:00,0,0,0,0,0,0,0,0
2021-06-24 00:00:00,0,0,0,0,0,0,0,0
2021-06-24 01:00:00,0,0,0,0,0,0,0,0
2021-06-24 02:00:00,0,0,0,0,0,0,0,0
2021-06-24 03:00:00,0,0,0,0,0,0,0,0
2021-06-24 04:00:00,0,0,0,0,0,0,0,0
2021-06-24 05:00:00,0,0,0,0,0,0,0,0
2021-06-24 06:00:00,0,0,0,0,0,0,0,0
2021-06-24 07:00:00,0,0,0,0,0,0,0,0
2021-06-24 08:00:00,0,0,0,0,0,0,0,0
2021-06-24 09:00:00,0,0,0,0,0,0,0,0
2021-06-24 10:00:00,0,0,0,0,0,0,0,0
2021-06-24 11:00:00,0,0,0,0,0,0,0,0
2021-06-24 12:00:00,39256,0,40072,40072,39256,0,0,39256
2021-06-24 13:00:00,39256,0,40072,40072,39256,0,0,39256
2021-06-24 14:00:00,39256,31496,0,0,39256,31406,31406,39256
2021-06-24 15:00:00,39256,31496,0,40074,39256,31406,31406,39256
2021-06-24 16:00:00,39256,31496,0,40072,39256,31406,31406,39256
2021-06-24 17:00:00,39256,31496,0,40072,39256,31406,31406,39256
2021-06-24 18:00:00,39256,31496,0,40072,39256,31406,31406,39256
2021-06-24 19:00:00,39256,0,0,40072,39256,0,0,39256
2021-06-24 20:00:00,39256,0,0,40072,39256,0,0,39256
2021-06-24 21:00:00,39256,0,0,40072,39256,0,0,39256
2021-06-24 22:00:00,39256,0,0,40072,39256,0,0,39256
2021-06-24 23:00:00,39256,9196,9196,40072,39256,9196,9196,39256
2021-06-25 00:00:00,39256,9196,9196,40072,39256,9196,9196,39256
2021-06-25 01:00:00,39256,9196,9196,40072,39256,9196,9196,39256
2021-06-25 02:00:00,39256,17975,17975,40072,39256,17975,17975,39256
2021-06-25 03:00:00,39256,17975,17975,40072,39256,17975,17975,39256
2021-06-25 04:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 05:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 06:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 07:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 08:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 09:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 10:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 11:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 12:00:00,39256,17975,17975,0,39256,17975,17975,39256
2021-06-25 13:00:00,39256,17975,17975,40076,39256,17975,17975,39256
2021-06-25 14:00:00,39256,17975,17975,40076,39256,17975,17975,39256
2021-06-25 15:00:00,39256,17975,17975,40076,39256,17975,17975,39256
2021-06-25 16:00:00,39256,17975,17975,40076,39256,17975,17975,39256
2021-06-25 17:00:00,0,17975,17975,0,0,17975,17975,0
2021-06-25 18:00:00,0,17975,17975,40076,40076,17975,17975,0
2021-06-25 19:00:00,40076,17975,17975,0,0,17975,17975,0
2021-06-25 20:00:00,0,17975,17975,0,0,17975,17975,0
2021-06-25 21:00:00,0,17975,17975,0,0,17975,17975,0
2021-06-25 22:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-25 23:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 00:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 01:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 02:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 03:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 04:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 05:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 06:00:00,39256,17975,17975,39256,39256,17975,17975,39256
2021-06-26 07:00:00,39256,17975,17975,39256,39256,17975,17975,39256
